timestamp,asset,direction,amount,mg_step,result,profit,strategy
2025-10-15T03:46:58.678Z,XAUUSD,CALL,1,1,PENDING,0,Baseline
2025-10-15T03:45:58.642Z,XAUUSD,PUT,1,1,WIN,0.87,Baseline
2025-10-15T03:45:56.642Z,XAUUSD,PUT,1,1,WIN,0.87,Baseline
2025-10-15T03:44:58.611Z,XAUUSD,PUT,1,1,LOSE,-1,Baseline
2025-10-15T03:44:56.611Z,EURUSD,PUT,1,1,WIN,0.87,Baseline
2025-10-15T03:43:58.590Z,EURUSD,PUT,1,1,LOSE,-1,Baseline
2025-10-15T03:43:56.588Z,EURUSD,CALL,1,1,LOSE,-1,Baseline
2025-10-15T03:42:56.567Z,XAUUSD,CALL,1,1,LOSE,-1,Baseline
